1000 999
0 1 55
0 2 85
0 3 96
0 4 48
0 5 52
0 6 27
0 7 7
0 8 69
0 9 42
0 10 80
0 11 37
0 12 94
0 13 92
0 14 47
0 15 42
0 16 27
0 17 78
0 18 12
0 19 21
0 20 79
0 21 26
0 22 32
0 23 62
0 24 25
0 25 45
0 26 12
0 27 97
0 28 77
0 29 6
0 30 65
0 31 27
0 32 40
0 33 8
0 34 62
0 35 32
0 36 100
0 37 46
0 38 15
0 39 48
0 40 52
0 41 12
0 42 53
0 43 88
0 44 51
0 45 66
0 46 90
0 47 80
0 48 15
0 49 20
0 50 23
0 51 42
0 52 56
0 53 49
0 54 37
0 55 98
0 56 86
0 57 72
0 58 9
0 59 17
0 60 41
0 61 98
0 62 96
0 63 13
0 64 81
0 65 23
0 66 28
0 67 31
0 68 55
0 69 8
0 70 25
0 71 76
0 72 52
0 73 74
0 74 20
0 75 46
0 76 92
0 77 56
0 78 94
0 79 46
0 80 57
0 81 23
0 82 20
0 83 12
0 84 94
0 85 50
0 86 31
0 87 23
0 88 47
0 89 22
0 90 99
0 91 59
0 92 68
0 93 36
0 94 6
0 95 61
0 96 98
0 97 91
0 98 51
0 99 100
0 100 34
0 101 33
0 102 84
0 103 19
0 104 13
0 105 37
0 106 97
0 107 16
0 108 9
0 109 3
0 110 66
0 111 1
0 112 43
0 113 35
0 114 49
0 115 58
0 116 93
0 117 90
0 118 22
0 119 29
0 120 63
0 121 79
0 122 60
0 123 62
0 124 49
0 125 66
0 126 66
0 127 51
0 128 49
0 129 85
0 130 90
0 131 49
0 132 7
0 133 47
0 134 73
0 135 14
0 136 13
0 137 72
0 138 40
0 139 82
0 140 94
0 141 56
0 142 67
0 143 100
0 144 83
0 145 25
0 146 53
0 147 25
0 148 78
0 149 63
0 150 43
0 151 73
0 152 46
0 153 66
0 154 94
0 155 63
0 156 79
0 157 18
0 158 80
0 159 12
0 160 59
0 161 72
0 162 31
0 163 68
0 164 7
0 165 13
0 166 66
0 167 43
0 168 74
0 169 28
0 170 65
0 171 95
0 172 23
0 173 37
0 174 36
0 175 39
0 176 97
0 177 33
0 178 27
0 179 54
0 180 55
0 181 70
0 182 21
0 183 98
0 184 30
0 185 23
0 186 63
0 187 58
0 188 92
0 189 62
0 190 53
0 191 43
0 192 63
0 193 46
0 194 32
0 195 94
0 196 67
0 197 35
0 198 35
0 199 61
0 200 9
0 201 68
0 202 31
0 203 73
0 204 61
0 205 80
0 206 37
0 207 15
0 208 98
0 209 90
0 210 96
0 211 18
0 212 46
0 213 8
0 214 57
0 215 4
0 216 97
0 217 76
0 218 32
0 219 63
0 220 36
0 221 64
0 222 72
0 223 36
0 224 99
0 225 91
0 226 62
0 227 59
0 228 26
0 229 29
0 230 99
0 231 45
0 232 57
0 233 5
0 234 40
0 235 66
0 236 47
0 237 27
0 238 23
0 239 19
0 240 14
0 241 45
0 242 93
0 243 64
0 244 74
0 245 63
0 246 98
0 247 68
0 248 44
0 249 74
0 250 97
0 251 81
0 252 93
0 253 82
0 254 9
0 255 64
0 256 64
0 257 28
0 258 94
0 259 62
0 260 20
0 261 15
0 262 26
