1000 999
0 1 90
0 999 76
999 998 82
999 997 26
997 996 66
997 995 40
995 994 25
995 993 76
993 992 60
993 991 38
991 990 66
991 989 63
989 988 36
989 987 66
987 986 99
987 985 2
985 984 37
985 983 91
983 982 90
983 981 94
981 980 79
981 979 17
979 978 3
979 977 47
977 976 26
977 975 62
975 974 92
975 973 89
973 972 21
973 971 10
971 970 9
971 969 32
969 968 23
969 967 66
967 966 41
967 965 33
965 964 63
965 963 42
963 962 60
963 961 58
961 960 79
961 959 92
959 958 72
959 957 42
957 956 49
957 955 97
955 954 5
955 953 44
953 952 72
953 951 92
951 950 90
951 949 14
949 948 18
949 947 62
947 946 98
947 945 55
945 944 15
945 943 40
943 942 15
943 941 44
941 940 67
941 939 99
939 938 16
939 937 6
937 936 72
937 935 71
935 934 44
935 933 56
933 932 83
933 931 16
931 930 45
931 929 79
929 928 54
929 927 53
927 926 35
927 925 39
925 924 72
925 923 12
923 922 74
923 921 32
921 920 75
921 919 49
919 918 19
919 917 84
917 916 20
917 915 46
915 914 93
915 913 2
913 912 69
913 911 87
911 910 47
911 909 48
909 908 26
909 907 86
907 906 87
907 905 15
905 904 97
905 903 34
903 902 100
903 901 34
901 900 47
901 899 32
899 898 38
899 897 48
897 896 8
897 895 15
895 894 58
895 893 30
893 892 5
893 891 46
891 890 49
891 889 57
889 888 80
889 887 44
887 886 28
887 885 15
885 884 4
885 883 80
883 882 72
883 881 72
881 880 32
881 879 23
879 878 59
879 877 91
877 876 99
877 875 11
875 874 91
875 873 72
873 872 22
873 871 53
871 870 47
871 869 98
869 868 62
869 867 54
867 866 35
867 865 1
865 864 17
865 863 48
863 862 76
863 861 22
861 860 78
861 859 68
859 858 62
859 857 44
857 856 30
857 855 85
855 854 51
855 853 17
853 852 45
853 851 27
851 850 31
851 849 59
849 848 11
849 847 58
847 846 93
847 845 60
845 844 91
845 843 37
843 842 48
843 841 54
841 840 65
841 839 48
839 838 12
839 837 83
837 836 76
837 835 36
835 834 83
835 833 49
833 832 87
833 831 21
831 830 44
831 829 53
829 828 42
829 827 79
827 826 71
827 825 42
825 824 60
825 823 34
823 822 68
823 821 85
821 820 42
821 819 26
819 818 15
819 817 11
817 816 97
817 815 95
815 814 48
815 813 51
813 812 6
813 811 51
811 810 61
811 809 2
809 808 98
809 807 3
807 806 95
807 805 60
805 804 23
805 803 25
803 802 16
803 801 59
801 800 50
801 799 51
799 798 57
799 797 56
797 796 72
797 795 1
795 794 91
795 793 42
793 792 49
793 791 75
791 790 22
791 789 59
789 788 58
789 787 80
787 786 13
787 785 10
785 784 89
785 783 82
783 782 80
783 781 66
781 780 42
781 779 27
779 778 96
779 777 94
777 776 100
777 775 78
775 774 77
775 773 83
773 772 87
773 771 5
771 770 5
771 769 90
769 768 72
769 767 62
767 766 46
767 765 87
765 764 76
765 763 17
763 762 78
763 761 56
761 760 60
761 759 87
759 758 27
759 757 41
757 756 21
757 755 72
755 754 34
755 753 31
753 752 18
753 751 89
751 750 20
751 749 75
749 748 12
749 747 45
747 746 50
747 745 57
745 744 66
745 743 14
743 742 51
743 741 17
741 740 82
741 739 59
739 738 43
739 737 60
737 736 76
737 735 37
735 734 93
735 733 92
733 732 28
733 731 87
731 730 70
731 729 2
729 728 8
729 727 60
727 726 27
727 725 59
725 724 36
725 723 1
723 722 31
723 721 81
721 720 43
721 719 11
719 718 17
719 717 87
717 716 33
717 715 60
715 714 60
715 713 18
713 712 6
713 711 76
711 710 51
711 709 71
709 708 32
709 707 97
707 706 6
707 705 69
705 704 38
705 703 35
703 702 35
703 701 96
701 700 99
701 699 49
699 698 26
699 697 13
697 696 93
697 695 30
695 694 9
695 693 35
693 692 51
693 691 90
691 690 45
691 689 32
689 688 22
689 687 92
687 686 81
687 685 85
685 684 85
685 683 82
683 682 26
683 681 68
681 680 79
681 679 54
679 678 8
679 677 58
677 676 31
677 675 23
675 674 44
675 673 12
673 672 76
673 671 98
671 670 9
671 669 87
669 668 20
669 667 22
667 666 2
667 665 93
665 664 84
665 663 79
663 662 3
663 661 21
661 660 97
661 659 62
659 658 89
659 657 6
657 656 3
657 655 11
655 654 8
655 653 26
653 652 86
653 651 88
651 650 51
651 649 34
649 648 86
649 647 15
647 646 2
647 645 31
645 644 27
645 643 71
643 642 46
643 641 72
641 640 49
641 639 35
639 638 80
639 637 76
637 636 31
637 635 89
635 634 96
635 633 15
633 632 86
633 631 63
631 630 93
631 629 3
629 628 21
629 627 56
627 626 37
627 625 70
625 624 98
625 623 73
623 622 55
623 621 87
621 620 81
621 619 35
619 618 34
619 617 51
617 616 60
617 615 14
615 614 6
615 613 55
613 612 10
613 611 56
611 610 7
611 609 24
609 608 25
609 607 99
607 606 61
607 605 37
605 604 54
605 603 2
603 602 23
603 601 42
601 600 13
601 599 57
599 598 82
599 597 12
597 596 26
597 595 39
595 594 80
595 593 80
593 592 88
593 591 59
591 590 61
591 589 17
589 588 95
589 587 67
587 586 93
587 585 98
585 584 84
585 583 78
583 582 13
583 581 63
581 580 60
581 579 70
579 578 19
579 577 50
577 576 22
577 575 95
575 574 57
575 573 62
573 572 28
573 571 11
571 570 22
571 569 41
569 568 36
569 567 16
567 566 76
567 565 100
565 564 52
565 563 18
563 562 5
563 561 38
561 560 89
561 559 64
559 558 76
559 557 1
557 556 16
557 555 86
555 554 40
555 553 71
553 552 2
553 551 22
551 550 97
551 549 3
549 548 99
549 547 44
547 546 13
547 545 94
545 544 16
545 543 28
543 542 85
543 541 10
541 540 40
541 539 43
539 538 85
539 537 30
537 536 42
537 535 82
535 534 63
535 533 93
533 532 44
533 531 60
531 530 91
531 529 23
529 528 92
529 527 77
527 526 11
527 525 50
525 524 10
525 523 29
523 522 2
523 521 75
521 520 49
521 519 38
519 518 93
519 517 6
517 516 95
517 515 72
515 514 67
515 513 75
513 512 49
513 511 58
511 510 13
511 509 95
509 508 74
509 507 57
507 506 98
507 505 56
505 504 78
505 503 50
503 502 10
503 501 7
501 500 18
501 499 36
499 498 89
499 497 19
497 496 75
497 495 96
495 494 10
495 493 97
493 492 90
493 491 53
491 490 26
491 489 10
489 488 76
489 487 15
487 486 64
487 485 7
485 484 90
485 483 34
483 482 5
483 481 96
481 480 44
481 479 24
479 478 80
479 477 57
477 476 4
477 475 44
475 474 17
475 473 67
473 472 12
473 471 93
471 470 72
471 469 20
469 468 33
469 467 1
467 466 18
467 465 27
465 464 63
465 463 69
463 462 51
463 461 46
461 460 61
461 459 45
459 458 71
459 457 16
457 456 21
457 455 90
455 454 22
455 453 10
453 452 96
453 451 36
451 450 41
451 449 60
449 448 53
449 447 89
447 446 57
447 445 11
445 444 65
445 443 84
443 442 59
443 441 94
441 440 49
441 439 15
439 438 39
439 437 4
437 436 12
437 435 34
435 434 97
435 433 65
433 432 62
433 431 5
431 430 70
431 429 89
429 428 99
429 427 22
427 426 92
427 425 46
425 424 47
425 423 1
423 422 36
423 421 7
421 420 43
421 419 25
419 418 63
419 417 65
417 416 18
417 415 79
415 414 95
415 413 11
413 412 48
413 411 91
411 410 46
411 409 43
409 408 66
409 407 38
407 406 23
407 405 77
405 404 22
405 403 66
403 402 10
403 401 53
401 400 98
401 399 6
399 398 29
399 397 16
397 396 78
397 395 1
395 394 63
395 393 81
393 392 51
393 391 87
391 390 15
391 389 52
389 388 75
389 387 77
387 386 41
387 385 40
385 384 6
385 383 15
383 382 97
383 381 25
381 380 81
381 379 29
379 378 46
379 377 38
377 376 81
377 375 99
375 374 42
375 373 78
373 372 7
373 371 68
371 370 42
371 369 28
369 368 51
369 367 96
367 366 68
367 365 66
365 364 23
365 363 86
363 362 12
